PAYMENT_ID,POLICY_ID,PAYMENT_DATE,PAYMENT_AMOUNT,PAYMENT_METHOD,STATUS
PMT-POL128-7,POL128,2024-06-29,50.31,Credit Card,Completed
PMT-POL128-8,POL128,2024-07-29,50.31,Check,Failed
PMT-POL128-9,POL128,2024-08-28,50.31,Check,Completed
PMT-POL128-10,POL128,2024-09-27,50.31,Check,Failed
PMT-POL128-11,POL128,2024-10-27,50.31,Check,Completed
PMT-POL128-12,POL128,2024-11-26,50.31,Credit Card,Pending
PMT-POL129-1,POL129,2024-01-01,177.5,Check,Completed
PMT-POL129-2,POL129,2024-04-01,177.5,Credit Card,Completed
PMT-POL129-3,POL129,2024-07-01,177.5,Check,Completed
PMT-POL129-4,POL129,2024-09-30,177.5,Bank Transfer,Failed
PMT-POL130-1,POL130,2024-01-01,2221.08,Check,Failed
PMT-POL131-1,POL131,2024-01-01,3561.38,Bank Transfer,Failed
PMT-POL132-1,POL132,2024-01-01,394.99,Credit Card,Failed
PMT-POL132-2,POL132,2024-01-31,394.99,Credit Card,Completed
PMT-POL132-3,POL132,2024-03-01,394.99,Bank Transfer,Completed
PMT-POL132-4,POL132,2024-03-31,394.99,Credit Card,Pending
PMT-POL132-5,POL132,2024-04-30,394.99,Credit Card,Failed
PMT-POL132-6,POL132,2024-05-30,394.99,Check,Completed
PMT-POL132-7,POL132,2024-06-29,394.99,Bank Transfer,Failed
PMT-POL132-8,POL132,2024-07-29,394.99,Check,Completed
PMT-POL132-9,POL132,2024-08-28,394.99,Bank Transfer,Failed
PMT-POL132-10,POL132,2024-09-27,394.99,Check,Completed
PMT-POL132-11,POL132,2024-10-27,394.99,Bank Transfer,Completed
PMT-POL132-12,POL132,2024-11-26,394.99,Bank Transfer,Completed
PMT-POL133-1,POL133,2024-01-01,234.88,Bank Transfer,Completed
PMT-POL133-2,POL133,2024-04-01,234.88,Check,Pending
PMT-POL133-3,POL133,2024-07-01,234.88,Bank Transfer,Pending
PMT-POL133-4,POL133,2024-09-30,234.88,Credit Card,Completed
PMT-POL134-1,POL134,2024-01-01,354.12,Check,Failed
PMT-POL134-2,POL134,2024-01-31,354.12,Check,Pending
PMT-POL134-3,POL134,2024-03-01,354.12,Credit Card,Failed
PMT-POL134-4,POL134,2024-03-31,354.12,Check,Pending
PMT-POL134-5,POL134,2024-04-30,354.12,Check,Completed
PMT-POL134-6,POL134,2024-05-30,354.12,Credit Card,Failed
PMT-POL134-7,POL134,2024-06-29,354.12,Check,Completed
PMT-POL134-8,POL134,2024-07-29,354.12,Credit Card,Failed
PMT-POL134-9,POL134,2024-08-28,354.12,Credit Card,Pending
PMT-POL134-10,POL134,2024-09-27,354.12,Check,Completed
PMT-POL134-11,POL134,2024-10-27,354.12,Check,Completed
PMT-POL134-12,POL134,2024-11-26,354.12,Bank Transfer,Pending
PMT-POL135-1,POL135,2024-01-01,110.0,Bank Transfer,Pending
PMT-POL135-2,POL135,2024-01-31,110.0,Check,Failed
PMT-POL135-3,POL135,2024-03-01,110.0,Bank Transfer,Failed
PMT-POL135-4,POL135,2024-03-31,110.0,Check,Failed
PMT-POL135-5,POL135,2024-04-30,110.0,Credit Card,Failed
PMT-POL135-6,POL135,2024-05-30,110.0,Bank Transfer,Completed
PMT-POL135-7,POL135,2024-06-29,110.0,Check,Completed
PMT-POL135-8,POL135,2024-07-29,110.0,Bank Transfer,Failed
PMT-POL135-9,POL135,2024-08-28,110.0,Check,Completed
PMT-POL135-10,POL135,2024-09-27,110.0,Bank Transfer,Pending
PMT-POL135-11,POL135,2024-10-27,110.0,Check,Completed
PMT-POL135-12,POL135,2024-11-26,110.0,Credit Card,Failed
PMT-POL136-1,POL136,2024-01-01,763.66,Check,Completed
PMT-POL136-2,POL136,2024-04-01,763.66,Credit Card,Failed
PMT-POL136-3,POL136,2024-07-01,763.66,Check,Failed
PMT-POL136-4,POL136,2024-09-30,763.66,Credit Card,Pending
PMT-POL137-1,POL137,2024-01-01,630.97,Check,Completed
PMT-POL137-2,POL137,2024-04-01,630.97,Check,Pending
PMT-POL137-3,POL137,2024-07-01,630.97,Bank Transfer,Completed
PMT-POL137-4,POL137,2024-09-30,630.97,Credit Card,Failed
PMT-POL138-1,POL138,2024-01-01,58.63,Bank Transfer,Completed
PMT-POL138-2,POL138,2024-01-31,58.63,Credit Card,Pending
PMT-POL138-3,POL138,2024-03-01,58.63,Bank Transfer,Completed
PMT-POL138-4,POL138,2024-03-31,58.63,Bank Transfer,Failed
PMT-POL138-5,POL138,2024-04-30,58.63,Credit Card,Failed
PMT-POL138-6,POL138,2024-05-30,58.63,Check,Completed
PMT-POL138-7,POL138,2024-06-29,58.63,Bank Transfer,Pending
PMT-POL138-8,POL138,2024-07-29,58.63,Credit Card,Failed
PMT-POL138-9,POL138,2024-08-28,58.63,Bank Transfer,Failed
PMT-POL138-10,POL138,2024-09-27,58.63,Bank Transfer,Failed
PMT-POL138-11,POL138,2024-10-27,58.63,Check,Failed
PMT-POL138-12,POL138,2024-11-26,58.63,Credit Card,Pending
PMT-POL139-1,POL139,2024-01-01,732.15,Credit Card,Pending
PMT-POL139-2,POL139,2024-04-01,732.15,Check,Failed
PMT-POL139-3,POL139,2024-07-01,732.15,Bank Transfer,Completed
PMT-POL139-4,POL139,2024-09-30,732.15,Bank Transfer,Pending
PMT-POL140-1,POL140,2024-01-01,245.18,Credit Card,Pending
PMT-POL140-2,POL140,2024-01-31,245.18,Credit Card,Pending
PMT-POL140-3,POL140,2024-03-01,245.18,Credit Card,Completed
PMT-POL140-4,POL140,2024-03-31,245.18,Check,Failed
PMT-POL140-5,POL140,2024-04-30,245.18,Check,Failed
PMT-POL140-6,POL140,2024-05-30,245.18,Check,Pending
PMT-POL140-7,POL140,2024-06-29,245.18,Credit Card,Completed
PMT-POL140-8,POL140,2024-07-29,245.18,Bank Transfer,Failed
PMT-POL140-9,POL140,2024-08-28,245.18,Credit Card,Pending
PMT-POL140-10,POL140,2024-09-27,245.18,Credit Card,Pending
PMT-POL140-11,POL140,2024-10-27,245.18,Check,Completed
PMT-POL140-12,POL140,2024-11-26,245.18,Bank Transfer,Completed
PMT-POL141-1,POL141,2024-01-01,208.87,Bank Transfer,Pending
PMT-POL141-2,POL141,2024-04-01,208.87,Bank Transfer,Completed
PMT-POL141-3,POL141,2024-07-01,208.87,Check,Failed
PMT-POL141-4,POL141,2024-09-30,208.87,Bank Transfer,Pending
PMT-POL142-1,POL142,2024-01-01,116.19,Check,Failed
PMT-POL142-2,POL142,2024-01-31,116.19,Check,Completed
PMT-POL142-3,POL142,2024-03-01,116.19,Credit Card,Failed
PMT-POL142-4,POL142,2024-03-31,116.19,Bank Transfer,Failed
PMT-POL142-5,POL142,2024-04-30,116.19,Credit Card,Failed
PMT-POL142-6,POL142,2024-05-30,116.19,Credit Card,Pending
PMT-POL142-7,POL142,2024-06-29,116.19,Credit Card,Completed
PMT-POL142-8,POL142,2024-07-29,116.19,Check,Completed
PMT-POL142-9,POL142,2024-08-28,116.19,Bank Transfer,Pending
PMT-POL142-10,POL142,2024-09-27,116.19,Bank Transfer,Pending
PMT-POL142-11,POL142,2024-10-27,116.19,Check,Completed
PMT-POL142-12,POL142,2024-11-26,116.19,Bank Transfer,Failed
PMT-POL155-1,POL155,2024-01-01,308.42,Check,Pending
PMT-POL155-2,POL155,2024-01-31,308.42,Check,Failed
PMT-POL155-3,POL155,2024-03-01,308.42,Credit Card,Pending
PMT-POL155-4,POL155,2024-03-31,308.42,Credit Card,Completed
PMT-POL155-5,POL155,2024-04-30,308.42,Credit Card,Failed
PMT-POL155-6,POL155,2024-05-30,308.42,Credit Card,Completed
PMT-POL155-7,POL155,2024-06-29,308.42,Check,Failed
PMT-POL155-8,POL155,2024-07-29,308.42,Bank Transfer,Pending
PMT-POL155-9,POL155,2024-08-28,308.42,Bank Transfer,Pending
PMT-POL155-10,POL155,2024-09-27,308.42,Credit Card,Pending
PMT-POL155-11,POL155,2024-10-27,308.42,Credit Card,Pending
PMT-POL155-12,POL155,2024-11-26,308.42,Credit Card,Failed
PMT-POL153-1,POL153,2024-01-01,389.03,Credit Card,Failed
PMT-POL153-2,POL153,2024-01-31,389.03,Credit Card,Failed
PMT-POL153-3,POL153,2024-03-01,389.03,Check,Completed
PMT-POL153-4,POL153,2024-03-31,389.03,Credit Card,Failed
PMT-POL153-5,POL153,2024-04-30,389.03,Credit Card,Completed
PMT-POL153-6,POL153,2024-05-30,389.03,Check,Pending
PMT-POL153-7,POL153,2024-06-29,389.03,Check,Pending
PMT-POL153-8,POL153,2024-07-29,389.03,Credit Card,Pending
PMT-POL153-9,POL153,2024-08-28,389.03,Credit Card,Pending
PMT-POL153-10,POL153,2024-09-27,389.03,Check,Completed
PMT-POL153-11,POL153,2024-10-27,389.03,Bank Transfer,Pending
PMT-POL153-12,POL153,2024-11-26,389.03,Check,Pending
PMT-POL157-1,POL157,2024-01-01,275.4,Check,Pending
PMT-POL157-2,POL157,2024-01-31,275.4,Bank Transfer,Pending
PMT-POL157-3,POL157,2024-03-01,275.4,Bank Transfer,Pending
PMT-POL157-4,POL157,2024-03-31,275.4,Bank Transfer,Completed
PMT-POL157-5,POL157,2024-04-30,275.4,Check,Completed
PMT-POL157-6,POL157,2024-05-30,275.4,Credit Card,Pending
PMT-POL157-7,POL157,2024-06-29,275.4,Bank Transfer,Failed
PMT-POL157-8,POL157,2024-07-29,275.4,Check,Pending
PMT-POL157-9,POL157,2024-08-28,275.4,Bank Transfer,Failed
PMT-POL157-10,POL157,2024-09-27,275.4,Check,Completed
PMT-POL157-11,POL157,2024-10-27,275.4,Bank Transfer,Failed
PMT-POL157-12,POL157,2024-11-26,275.4,Check,Pending
PMT-POL176-1,POL176,2024-01-01,315.27,Bank Transfer,Completed
PMT-POL176-2,POL176,2024-01-31,315.27,Check,Completed
PMT-POL176-3,POL176,2024-03-01,315.27,Bank Transfer,Failed
PMT-POL176-4,POL176,2024-03-31,315.27,Credit Card,Completed
PMT-POL176-5,POL176,2024-04-30,315.27,Check,Pending
PMT-POL176-6,POL176,2024-05-30,315.27,Check,Failed
PMT-POL176-7,POL176,2024-06-29,315.27,Check,Failed
PMT-POL176-8,POL176,2024-07-29,315.27,Credit Card,Failed
PMT-POL176-9,POL176,2024-08-28,315.27,Credit Card,Completed
PMT-POL176-10,POL176,2024-09-27,315.27,Bank Transfer,Failed
PMT-POL176-11,POL176,2024-10-27,315.27,Credit Card,Pending
PMT-POL176-12,POL176,2024-11-26,315.27,Bank Transfer,Pending
PMT-POL191-1,POL191,2024-01-01,1038.17,Credit Card,Pending
PMT-POL183-1,POL183,2024-01-01,756.44,Credit Card,Failed
PMT-POL183-2,POL183,2024-04-01,756.44,Credit Card,Failed
PMT-POL183-3,POL183,2024-07-01,756.44,Credit Card,Failed
PMT-POL183-4,POL183,2024-09-30,756.44,Bank Transfer,Completed
PMT-POL186-1,POL186,2024-01-01,2852.3,Check,Pending
PMT-POL157-1,POL157,2024-01-01,82.13,Check,Pending
PMT-POL157-2,POL157,2024-01-31,82.13,Bank Transfer,Pending
PMT-POL157-3,POL157,2024-03-01,82.13,Bank Transfer,Pending
PMT-POL157-4,POL157,2024-03-31,82.13,Bank Transfer,Completed
PMT-POL157-5,POL157,2024-04-30,82.13,Check,Completed
PMT-POL157-6,POL157,2024-05-30,82.13,Credit Card,Pending
PMT-POL157-7,POL157,2024-06-29,82.13,Bank Transfer,Failed
PMT-POL157-8,POL157,2024-07-29,82.13,Check,Pending
PMT-POL157-9,POL157,2024-08-28,82.13,Bank Transfer,Failed
PMT-POL157-10,POL157,2024-09-27,82.13,Check,Completed
PMT-POL157-11,POL157,2024-10-27,82.13,Bank Transfer,Failed
PMT-POL157-12,POL157,2024-11-26,82.13,Check,Pending
PMT-POL160-1,POL160,2024-01-01,159.55,Bank Transfer,Pending
PMT-POL160-2,POL160,2024-01-31,159.55,Credit Card,Failed
PMT-POL160-3,POL160,2024-03-01,159.55,Bank Transfer,Pending
PMT-POL160-4,POL160,2024-03-31,159.55,Credit Card,Pending
PMT-POL160-5,POL160,2024-04-30,159.55,Check,Completed
PMT-POL160-6,POL160,2024-05-30,159.55,Check,Failed
PMT-POL160-7,POL160,2024-06-29,159.55,Check,Completed
PMT-POL160-8,POL160,2024-07-29,159.55,Credit Card,Pending
PMT-POL160-9,POL160,2024-08-28,159.55,Check,Completed
PMT-POL160-10,POL160,2024-09-27,159.55,Check,Failed
PMT-POL160-11,POL160,2024-10-27,159.55,Bank Transfer,Pending
PMT-POL160-12,POL160,2024-11-26,159.55,Bank Transfer,Failed
PMT-POL176-1,POL176,2024-01-01,732.32,Bank Transfer,Completed
PMT-POL176-2,POL176,2024-04-01,732.32,Check,Completed
PMT-POL176-3,POL176,2024-07-01,732.32,Bank Transfer,Failed
PMT-POL176-4,POL176,2024-09-30,732.32,Credit Card,Completed
PMT-POL191-1,POL191,2024-01-01,3626.53,Credit Card,Pending
PMT-POL173-1,POL173,2024-01-01,81.23,Credit Card,Pending
PMT-POL173-2,POL173,2024-01-31,81.23,Credit Card,Completed
PMT-POL173-3,POL173,2024-03-01,81.23,Credit Card,Pending
PMT-POL173-4,POL173,2024-03-31,81.23,Credit Card,Pending
PMT-POL173-5,POL173,2024-04-30,81.23,Check,Failed
PMT-POL173-6,POL173,2024-05-30,81.23,Check,Completed
PMT-POL173-7,POL173,2024-06-29,81.23,Credit Card,Completed
PMT-POL173-8,POL173,2024-07-29,81.23,Bank Transfer,Failed
PMT-POL173-9,POL173,2024-08-28,81.23,Check,Completed
PMT-POL173-10,POL173,2024-09-27,81.23,Credit Card,Pending
PMT-POL173-11,POL173,2024-10-27,81.23,Check,Completed
PMT-POL173-12,POL173,2024-11-26,81.23,Bank Transfer,Pending
PMT-POL192-1,POL192,2024-01-01,262.35,Check,Pending
PMT-POL192-2,POL192,2024-04-01,262.35,Check,Failed
PMT-POL192-3,POL192,2024-07-01,262.35,Credit Card,Completed
PMT-POL192-4,POL192,2024-09-30,262.35,Check,Completed
PMT-POL156-1,POL156,2024-01-01,143.72,Bank Transfer,Completed
PMT-POL156-2,POL156,2024-01-31,143.72,Credit Card,Pending
PMT-POL156-3,POL156,2024-03-01,143.72,Credit Card,Completed
PMT-POL156-4,POL156,2024-03-31,143.72,Credit Card,Completed
PMT-POL156-5,POL156,2024-04-30,143.72,Credit Card,Completed
PMT-POL156-6,POL156,2024-05-30,143.72,Bank Transfer,Pending
PMT-POL156-7,POL156,2024-06-29,143.72,Bank Transfer,Pending
PMT-POL156-8,POL156,2024-07-29,143.72,Credit Card,Pending
PMT-POL156-9,POL156,2024-08-28,143.72,Check,Completed
PMT-POL156-10,POL156,2024-09-27,143.72,Bank Transfer,Failed
PMT-POL156-11,POL156,2024-10-27,143.72,Bank Transfer,Completed
PMT-POL156-12,POL156,2024-11-26,143.72,Credit Card,Completed
PMT-POL180-1,POL180,2024-01-01,1093.32,Check,Completed
PMT-POL180-2,POL180,2024-04-01,1093.32,Check,Completed
PMT-POL180-3,POL180,2024-07-01,1093.32,Bank Transfer,Pending
PMT-POL180-4,POL180,2024-09-30,1093.32,Credit Card,Completed
PMT-POL161-1,POL161,2024-01-01,2378.35,Check,Completed
PMT-POL170-1,POL170,2024-01-01,133.21,Bank Transfer,Failed
PMT-POL170-2,POL170,2024-01-31,133.21,Bank Transfer,Failed
PMT-POL170-3,POL170,2024-03-01,133.21,Check,Completed
PMT-POL170-4,POL170,2024-03-31,133.21,Check,Failed
PMT-POL170-5,POL170,2024-04-30,133.21,Check,Failed
PMT-POL170-6,POL170,2024-05-30,133.21,Credit Card,Pending
PMT-POL170-7,POL170,2024-06-29,133.21,Credit Card,Pending
PMT-POL170-8,POL170,2024-07-29,133.21,Credit Card,Completed
PMT-POL170-9,POL170,2024-08-28,133.21,Bank Transfer,Completed
PMT-POL170-10,POL170,2024-09-27,133.21,Check,Pending
PMT-POL170-11,POL170,2024-10-27,133.21,Check,Completed
PMT-POL170-12,POL170,2024-11-26,133.21,Credit Card,Pending
PMT-POL173-1,POL173,2024-01-01,193.11,Credit Card,Pending
PMT-POL173-2,POL173,2024-01-31,193.11,Credit Card,Completed
PMT-POL173-3,POL173,2024-03-01,193.11,Credit Card,Pending
PMT-POL173-4,POL173,2024-03-31,193.11,Credit Card,Pending
PMT-POL173-5,POL173,2024-04-30,193.11,Check,Failed
PMT-POL173-6,POL173,2024-05-30,193.11,Check,Completed
PMT-POL173-7,POL173,2024-06-29,193.11,Credit Card,Completed
PMT-POL173-8,POL173,2024-07-29,193.11,Bank Transfer,Failed
PMT-POL173-9,POL173,2024-08-28,193.11,Check,Completed
PMT-POL173-10,POL173,2024-09-27,193.11,Credit Card,Pending
PMT-POL173-11,POL173,2024-10-27,193.11,Check,Completed
PMT-POL173-12,POL173,2024-11-26,193.11,Bank Transfer,Pending
PMT-POL143-1,POL143,2024-01-01,134.25,Bank Transfer,Failed
PMT-POL143-2,POL143,2024-01-31,134.25,Bank Transfer,Failed
PMT-POL143-3,POL143,2024-03-01,134.25,Check,Completed
PMT-POL143-4,POL143,2024-03-31,134.25,Bank Transfer,Completed
PMT-POL143-5,POL143,2024-04-30,134.25,Check,Pending
PMT-POL143-6,POL143,2024-05-30,134.25,Credit Card,Failed
PMT-POL143-7,POL143,2024-06-29,134.25,Bank Transfer,Failed
PMT-POL143-8,POL143,2024-07-29,134.25,Bank Transfer,Completed
PMT-POL143-9,POL143,2024-08-28,134.25,Credit Card,Completed
PMT-POL143-10,POL143,2024-09-27,134.25,Check,Pending
PMT-POL143-11,POL143,2024-10-27,134.25,Check,Failed
PMT-POL143-12,POL143,2024-11-26,134.25,Check,Failed
PMT-POL168-1,POL168,2024-01-01,97.2,Check,Pending
PMT-POL168-2,POL168,2024-01-31,97.2,Check,Pending
PMT-POL168-3,POL168,2024-03-01,97.2,Bank Transfer,Pending
PMT-POL168-4,POL168,2024-03-31,97.2,Bank Transfer,Failed
PMT-POL168-5,POL168,2024-04-30,97.2,Credit Card,Pending
PMT-POL168-6,POL168,2024-05-30,97.2,Credit Card,Failed
PMT-POL168-7,POL168,2024-06-29,97.2,Bank Transfer,Completed
PMT-POL168-8,POL168,2024-07-29,97.2,Credit Card,Failed
PMT-POL168-9,POL168,2024-08-28,97.2,Credit Card,Completed
PMT-POL168-10,POL168,2024-09-27,97.2,Bank Transfer,Pending
PMT-POL168-11,POL168,2024-10-27,97.2,Credit Card,Pending
PMT-POL168-12,POL168,2024-11-26,97.2,Bank Transfer,Pending
PMT-POL170-1,POL170,2024-01-01,690.51,Bank Transfer,Failed
PMT-POL170-2,POL170,2024-04-01,690.51,Bank Transfer,Failed
PMT-POL170-3,POL170,2024-07-01,690.51,Check,Completed
PMT-POL170-4,POL170,2024-09-30,690.51,Check,Failed
PMT-POL167-1,POL167,2024-01-01,279.55,Credit Card,Failed
PMT-POL167-2,POL167,2024-01-31,279.55,Bank Transfer,Failed
PMT-POL167-3,POL167,2024-03-01,279.55,Credit Card,Failed
PMT-POL167-4,POL167,2024-03-31,279.55,Credit Card,Pending
PMT-POL167-5,POL167,2024-04-30,279.55,Credit Card,Completed
PMT-POL167-6,POL167,2024-05-30,279.55,Bank Transfer,Failed
PMT-POL167-7,POL167,2024-06-29,279.55,Credit Card,Completed
PMT-POL167-8,POL167,2024-07-29,279.55,Credit Card,Failed
PMT-POL167-9,POL167,2024-08-28,279.55,Credit Card,Failed
PMT-POL167-10,POL167,2024-09-27,279.55,Credit Card,Pending
PMT-POL167-11,POL167,2024-10-27,279.55,Check,Completed
PMT-POL167-12,POL167,2024-11-26,279.55,Bank Transfer,Pending
PMT-POL163-1,POL163,2024-01-01,209.59,Check,Pending
PMT-POL163-2,POL163,2024-01-31,209.59,Bank Transfer,Failed
PMT-POL163-3,POL163,2024-03-01,209.59,Bank Transfer,Pending
PMT-POL163-4,POL163,2024-03-31,209.59,Check,Pending
PMT-POL163-5,POL163,2024-04-30,209.59,Bank Transfer,Completed
PMT-POL163-6,POL163,2024-05-30,209.59,Check,Failed
PMT-POL163-7,POL163,2024-06-29,209.59,Bank Transfer,Completed
PMT-POL163-8,POL163,2024-07-29,209.59,Bank Transfer,Completed
PMT-POL163-9,POL163,2024-08-28,209.59,Credit Card,Failed
PMT-POL163-10,POL163,2024-09-27,209.59,Bank Transfer,Completed
PMT-POL163-11,POL163,2024-10-27,209.59,Credit Card,Pending
PMT-POL163-12,POL163,2024-11-26,209.59,Bank Transfer,Completed
PMT-POL183-1,POL183,2024-01-01,71.99,Credit Card,Failed
PMT-POL183-2,POL183,2024-01-31,71.99,Credit Card,Failed
PMT-POL183-3,POL183,2024-03-01,71.99,Credit Card,Failed
PMT-POL183-4,POL183,2024-03-31,71.99,Bank Transfer,Completed
PMT-POL183-5,POL183,2024-04-30,71.99,Bank Transfer,Pending
PMT-POL183-6,POL183,2024-05-30,71.99,Check,Pending
PMT-POL183-7,POL183,2024-06-29,71.99,Check,Completed
PMT-POL183-8,POL183,2024-07-29,71.99,Credit Card,Completed
PMT-POL183-9,POL183,2024-08-28,71.99,Bank Transfer,Failed
PMT-POL183-10,POL183,2024-09-27,71.99,Credit Card,Completed
PMT-POL183-11,POL183,2024-10-27,71.99,Check,Failed
PMT-POL183-12,POL183,2024-11-26,71.99,Bank Transfer,Failed
PMT-POL161-1,POL161,2024-01-01,278.78,Check,Completed
PMT-POL161-2,POL161,2024-01-31,278.78,Check,Failed
PMT-POL161-3,POL161,2024-03-01,278.78,Bank Transfer,Failed
PMT-POL161-4,POL161,2024-03-31,278.78,Check,Completed
PMT-POL161-5,POL161,2024-04-30,278.78,Check,Failed
PMT-POL161-6,POL161,2024-05-30,278.78,Check,Pending
PMT-POL161-7,POL161,2024-06-29,278.78,Check,Completed
PMT-POL161-8,POL161,2024-07-29,278.78,Check,Failed
PMT-POL161-9,POL161,2024-08-28,278.78,Credit Card,Completed
PMT-POL161-10,POL161,2024-09-27,278.78,Bank Transfer,Failed
PMT-POL161-11,POL161,2024-10-27,278.78,Credit Card,Completed
PMT-POL161-12,POL161,2024-11-26,278.78,Check,Completed
PMT-POL184-1,POL184,2024-01-01,98.19,Bank Transfer,Pending
PMT-POL184-2,POL184,2024-01-31,98.19,Credit Card,Completed
PMT-POL184-3,POL184,2024-03-01,98.19,Bank Transfer,Pending
PMT-POL184-4,POL184,2024-03-31,98.19,Bank Transfer,Completed
PMT-POL184-5,POL184,2024-04-30,98.19,Check,Failed
PMT-POL184-6,POL184,2024-05-30,98.19,Check,Completed
PMT-POL184-7,POL184,2024-06-29,98.19,Credit Card,Pending
PMT-POL184-8,POL184,2024-07-29,98.19,Bank Transfer,Completed
PMT-POL184-9,POL184,2024-08-28,98.19,Bank Transfer,Completed
PMT-POL184-10,POL184,2024-09-27,98.19,Bank Transfer,Pending
PMT-POL184-11,POL184,2024-10-27,98.19,Bank Transfer,Completed
PMT-POL184-12,POL184,2024-11-26,98.19,Bank Transfer,Completed
PMT-POL187-1,POL187,2024-01-01,1090.65,Check,Completed
PMT-POL187-2,POL187,2024-04-01,1090.65,Check,Pending
PMT-POL187-3,POL187,2024-07-01,1090.65,Bank Transfer,Completed
PMT-POL187-4,POL187,2024-09-30,1090.65,Check,Completed
PMT-POL183-1,POL183,2024-01-01,4142.75,Credit Card,Failed
PMT-POL156-1,POL156,2024-01-01,190.76,Bank Transfer,Completed
PMT-POL156-2,POL156,2024-01-31,190.76,Credit Card,Pending
PMT-POL156-3,POL156,2024-03-01,190.76,Credit Card,Completed
PMT-POL156-4,POL156,2024-03-31,190.76,Credit Card,Completed
PMT-POL156-5,POL156,2024-04-30,190.76,Credit Card,Completed
PMT-POL156-6,POL156,2024-05-30,190.76,Bank Transfer,Pending
PMT-POL156-7,POL156,2024-06-29,190.76,Bank Transfer,Pending
PMT-POL156-8,POL156,2024-07-29,190.76,Credit Card,Pending
PMT-POL156-9,POL156,2024-08-28,190.76,Check,Completed
PMT-POL156-10,POL156,2024-09-27,190.76,Bank Transfer,Failed
PMT-POL156-11,POL156,2024-10-27,190.76,Bank Transfer,Completed
PMT-POL156-12,POL156,2024-11-26,190.76,Credit Card,Completed
PMT-POL188-1,POL188,2024-01-01,295.05,Bank Transfer,Completed
PMT-POL188-2,POL188,2024-01-31,295.05,Check,Failed
PMT-POL188-3,POL188,2024-03-01,295.05,Check,Failed
PMT-POL188-4,POL188,2024-03-31,295.05,Bank Transfer,Completed
PMT-POL188-5,POL188,2024-04-30,295.05,Bank Transfer,Completed
PMT-POL188-6,POL188,2024-05-30,295.05,Check,Failed
PMT-POL188-7,POL188,2024-06-29,295.05,Credit Card,Completed
PMT-POL188-8,POL188,2024-07-29,295.05,Bank Transfer,Completed
PMT-POL188-9,POL188,2024-08-28,295.05,Credit Card,Completed
PMT-POL188-10,POL188,2024-09-27,295.05,Check,Failed
PMT-POL188-11,POL188,2024-10-27,295.05,Credit Card,Pending
